"API Name","Chitosan Mass Fraction (%)","Alginate Mass Fraction (%)","Surfactant Mass Fraction (%)","Crosslinker Mass Fraction (%)","Total Solid Concentration (mg/mL)","Particle Size (nm)","Zeta Potential (mV)","Encapsulation Efficiency (%)","Effective SLogP","Effective TPSA","Effective AMW","Effective NumRotBonds","Effective NumHBD","Effective NumHBA","Effective NumAromaticRings","Effective NumSaturatedRings","Effective NumAliphaticRings","Effective MolMR","Effective FractionCSP3","Effective NumHeteroatoms","Total API Mass Fraction (%)","Emulsion_Solvent_Evaporation","Contains_Surfactant","Surfactant_HLB","Surfactant_MW","Crosslinker_Cationic_Valency","Crosslinker_Anic_Valency","Crosslinker_Cationic_Charge_Density","Crosslinker_Anic_Charge_Density","Contains_Crosslinker","Chitosan_DDA_Pct","Chitosan_MW_Grade_Encoded","Stirring_Speed_RPM","Temperature_C","Sonication_Time_min","pH_Standardized"
"Curcumin diglutaric acid",0.06764069264069264,0.27056277056277056,98.07900432900433,0.229978354978355,7.646896551724137,339,-26.7,78.2,4.762000000000004,182.95999999999998,596.5850000000004,17,3,10,2,0,0,154.01839999999976,0.25806451612903225,12,1.3528138528138527,1,1,22,12600,2,0,0.018021265092809515,0,1,84.3,1,1000,25,15,4.6
"Curcumin diglutaric acid",0.06764069264069264,0.27056277056277056,98.07900432900433,0.229978354978355,7.646896551724137,334,-25.8,77.8,4.762000000000004,182.95999999999998,596.5850000000004,17,3,10,2,0,0,154.01839999999976,0.25806451612903225,12,1.3528138528138527,1,1,22,12600,2,0,0.018021265092809515,0,1,84.3,1,1000,25,15,4.6
"Curcumin diglutaric acid",0.08041278563291564,0.40206392816457814,97.16544930643974,0.3417543389398915,5.145862068965517,233,-28.4,76.6,4.762000000000004,182.95999999999998,596.5850000000004,17,3,10,2,0,0,154.01839999999976,0.25806451612903225,12,2.0103196408228907,1,1,22,12600,2,0,0.018021265092809515,0,1,84.3,1,1000,25,15,4.6
"Curcumin diethyl disuccinate (CDD)",0.020366598778004074,0.4073319755600815,98.43856076035303,0.4548540393754244,5.079310344827586,279,-27.8,38.71,3.7261000000000024,157.79999999999998,598.6010000000002,17,0,12,1,0,1,151.3779999999998,0.3548387096774194,12,0.6788866259334692,1,1,22,12600,2,0,0.018021265092809515,0,1,85,1,1000,25,15,4.6
"Curcumin diethyl disuccinate (CDD)",0.06107491856677525,0.40716612377850164,98.3984799131379,0.4546688382193269,5.081379310344827,434,-19.8,17.08,3.7261000000000024,157.79999999999998,598.6010000000002,17,0,12,1,0,1,151.3779999999998,0.3548387096774194,12,0.6786102062975028,1,1,22,12600,2,0,0.018021265092809515,0,1,85,1,1000,25,15,4.6
"Curcumin diethyl disuccinate (CDD)",0.00686027898467871,0.13720557969357422,99.4740452778413,0.1532128973244912,15.079310344827586,308,-17.5,25.42,3.7261000000000024,157.79999999999998,598.6010000000002,17,0,12,1,0,1,151.3779999999998,0.3548387096774194,12,0.22867596615595698,1,1,22,12600,2,0,0.018021265092809515,0,1,85,1,1000,25,15,4.6
"Curcumin diethyl disuccinate (CDD)",0.020578013535760012,0.13718675690506676,99.46039875617339,0.15319187854399122,15.081379310344827,645,-12.4,13.64,3.7261000000000024,157.79999999999998,598.6010000000002,17,0,12,1,0,1,151.3779999999998,0.3548387096774194,12,0.22864459484177793,1,1,22,12600,2,0,0.018021265092809515,0,1,85,1,1000,25,15,4.6
"Curcumin diethyl disuccinate (CDD)",0.01028101439342015,0.205620287868403,99.38313913639479,0.22960932145305005,10.062068965517241,285,-24.9,24.52,3.7261000000000024,157.79999999999998,598.6010000000002,17,0,12,1,0,1,151.3779999999998,0.3548387096774194,12,0.17135023989033585,1,1,22,12600,2,0,0.018021265092809515,0,1,85,1,1000,25,15,4.6
"Curcumin diethyl disuccinate (CDD)",0.030836702528609608,0.20557801685739735,99.36270814774207,0.22956211882409375,10.064137931034484,558,-16.5,19.09,3.7261000000000024,157.79999999999998,598.6010000000002,17,0,12,1,0,1,151.3779999999998,0.3548387096774194,12,0.17131501404783114,1,1,22,12600,2,0,0.018021265092809515,0,1,85,1,1000,25,15,4.6
"Curcumin diethyl disuccinate (CDD)",0.010245901639344262,0.20491803278688522,99.04371584699453,0.22882513661202186,10.096551724137932,340,-23.2,39.97,3.7261000000000024,157.79999999999998,598.6010000000002,17,0,12,1,0,1,151.3779999999998,0.3548387096774194,12,0.5122950819672131,1,1,22,12600,2,0,0.018021265092809515,0,1,85,1,1000,25,15,4.6
"Curcumin diethyl disuccinate (CDD)",0.030731407498463426,0.2048760499897562,99.0234241617155,0.2287782558218944,10.098620689655172,585,-17.1,16.55,3.7261000000000024,157.79999999999998,598.6010000000002,17,0,12,1,0,1,151.3779999999998,0.3548387096774194,12,0.5121901249743905,1,1,22,12600,2,0,0.018021265092809515,0,1,85,1,1000,25,15,4.6
"Curcumin diethyl disuccinate (CDD)",0.040863583736293674,0.4086358373629368,98.75366069604306,0.45631001838861274,5.063103448275862,427,-25.7,35.16,3.7261000000000024,157.79999999999998,598.6010000000002,17,0,12,1,0,1,151.3779999999998,0.3548387096774194,12,0.340529864469114,1,1,22,12600,2,0,0.018021265092809515,0,1,85,1,1000,25,15,4.6
"Curcumin diethyl disuccinate (CDD)",0.013735320376347776,0.13735320376347776,99.58107272852138,0.15337774420255018,15.063103448275864,615,-13.4,23.38,3.7261000000000024,157.79999999999998,598.6010000000002,17,0,12,1,0,1,151.3779999999998,0.3548387096774194,12,0.11446100313623148,1,1,22,12600,2,0,0.018021265092809515,0,1,85,1,1000,25,15,4.6
"Curcumin diethyl disuccinate (CDD)",0.04058716092809308,0.40587160928093086,98.08563890955828,0.4532232970303728,5.097586206896551,482,-20.8,40.12,3.7261000000000024,157.79999999999998,598.6010000000002,17,0,12,1,0,1,151.3779999999998,0.3548387096774194,12,1.014679023202327,1,1,22,12600,2,0,0.018021265092809515,0,1,85,1,1000,25,15,4.6
"Curcumin diethyl disuccinate (CDD)",0.01370394902130964,0.1370394902130964,99.35363040449488,0.15302743073795766,15.097586206896553,607,-17.2,37.37,3.7261000000000024,157.79999999999998,598.6010000000002,17,0,12,1,0,1,151.3779999999998,0.3548387096774194,12,0.342598725532741,1,1,22,12600,2,0,0.018021265092809515,0,1,85,1,1000,25,15,4.6
"Curcumin diethyl disuccinate (CDD)",0.02052474942701741,0.20524749427017408,99.20295556391747,0.22919303526836107,10.080344827586208,505,-21,45.11,3.7261000000000024,157.79999999999998,598.6010000000002,17,0,12,1,0,1,151.3779999999998,0.3548387096774194,12,0.3420791571169568,1,1,22,12600,2,0,0.018021265092809515,0,1,85,1,1000,25,15,4.6
"Curcumin diethyl disuccinate (CDD)",0.02052474942701741,0.20524749427017408,99.20295556391747,0.22919303526836107,10.080344827586208,529,-20.6,43.44,3.7261000000000024,157.79999999999998,598.6010000000002,17,0,12,1,0,1,151.3779999999998,0.3548387096774194,12,0.3420791571169568,1,1,22,12600,2,0,0.018021265092809515,0,1,85,1,1000,25,15,4.6
"Curcumin diethyl disuccinate (CDD)",0.02052474942701741,0.20524749427017408,99.20295556391747,0.22919303526836107,10.080344827586208,519,-22.3,44.31,3.7261000000000024,157.79999999999998,598.6010000000002,17,0,12,1,0,1,151.3779999999998,0.3548387096774194,12,0.3420791571169568,1,1,22,12600,2,0,0.018021265092809515,0,1,85,1,1000,25,15,4.6
"Curcumin diethyl disuccinate (CDD)",0.015682174594877158,0.31364349189754315,98.53633037114481,0.3502352326189232,6.596551724137931,324,-25.24,44.24,3.7261000000000024,157.79999999999998,598.6010000000002,17,0,12,1,0,1,151.3779999999998,0.3548387096774194,12,0.7841087297438579,1,1,22,12600,2,0,0.018021265092809515,0,1,85,1,1000,25,15,4.6
"Simvastatin",28.901734104046245,34.68208092485549,35.83815028901734,0,7.863636363636363,109,,66,4.585600000000006,72.83000000000001,418.5740000000003,6,1,5,0,1,3,115.45480000000008,0.76,5,0.5780346820809248,0,1,15,1310,0,0,0,0,0,75,2,,60,,4.8
"Simvastatin",32.92181069958848,41.1522633744856,25.514403292181072,0,11.045454545454545,296,,79,4.585600000000006,72.83000000000001,418.5740000000003,6,1,5,0,1,3,115.45480000000008,0.76,5,0.411522633744856,0,1,15,1310,0,0,0,0,0,75,2,,60,,4.8
"Simvastatin",49.079754601226995,12.269938650306749,38.036809815950924,0,7.409090909090909,110,,41,4.585600000000006,72.83000000000001,418.5740000000003,6,1,5,0,1,3,115.45480000000008,0.76,5,0.6134969325153374,0,1,15,1310,0,0,0,0,0,75,2,,60,,4.8
"Simvastatin",42.90393377970388,27.85173961965664,28.780130940311864,0,9.792109090909092,219,,56,4.585600000000006,72.83000000000001,418.5740000000003,6,1,5,0,1,3,115.45480000000008,0.76,5,0.4641956603276107,0,1,15,1310,0,0,0,0,0,75,2,,60,,4.8
"Simvastatin",10.92896174863388,54.644808743169406,33.87978142076503,0,8.318181818181818,309,,87,4.585600000000006,72.83000000000001,418.5740000000003,6,1,5,0,1,3,115.45480000000008,0.76,5,0.546448087431694,0,1,15,1310,0,0,0,0,0,75,2,,60,,4.8
"Simvastatin",28.901734104046245,34.68208092485549,35.83815028901734,0,7.863636363636363,118,,71,4.585600000000006,72.83000000000001,418.5740000000003,6,1,5,0,1,3,115.45480000000008,0.76,5,0.5780346820809248,0,1,15,1310,0,0,0,0,0,75,2,,60,,4.8
"Simvastatin",28.901734104046245,34.68208092485549,35.83815028901734,0,7.863636363636363,132,,67,4.585600000000006,72.83000000000001,418.5740000000003,6,1,5,0,1,3,115.45480000000008,0.76,5,0.5780346820809248,0,1,15,1310,0,0,0,0,0,75,2,,60,,4.8
"Simvastatin",42.943719850287884,2.947193138349377,53.250212614356975,0,5.292339090909092,206,,37,4.585600000000006,72.83000000000001,418.5740000000003,6,1,5,0,1,3,115.45480000000008,0.76,5,0.8588743970057575,0,1,15,1310,0,0,0,0,0,75,2,,60,,4.8
"Simvastatin",28.901734104046245,34.68208092485549,35.83815028901734,0,7.863636363636363,127,,78,4.585600000000006,72.83000000000001,418.5740000000003,6,1,5,0,1,3,115.45480000000008,0.76,5,0.5780346820809248,0,1,15,1310,0,0,0,0,0,75,2,,60,,4.8
"Simvastatin",5.800253650048709,45.95109578046405,47.48279897314618,0,5.935163636363636,307,,60,4.585600000000006,72.83000000000001,418.5740000000003,6,1,5,0,1,3,115.45480000000008,0.76,5,0.7658515963410675,0,1,15,1310,0,0,0,0,0,75,2,,60,,4.8
"Simvastatin",21.779982105566706,50.77724044141926,27.007177810902718,0,10.434936363636362,351,,91,4.585600000000006,72.83000000000001,418.5740000000003,6,1,5,0,1,3,115.45480000000008,0.76,5,0.4355996421113341,0,1,15,1310,0,0,0,0,0,75,2,,60,,4.8
"Simvastatin",19.41747572815534,19.41747572815534,60.19417475728155,0,4.681818181818182,209,,46,4.585600000000006,72.83000000000001,418.5740000000003,6,1,5,0,1,3,115.45480000000008,0.76,5,0.9708737864077669,0,1,15,1310,0,0,0,0,0,75,2,,60,,4.8
"Simvastatin",28.901734104046245,34.68208092485549,35.83815028901734,0,7.863636363636363,128,,70,4.585600000000006,72.83000000000001,418.5740000000003,6,1,5,0,1,3,115.45480000000008,0.76,5,0.5780346820809248,0,1,15,1310,0,0,0,0,0,75,2,,60,,4.8
"Simvastatin",27.861771058315334,38.120950323974085,33.477321814254864,0,8.418181818181818,143.23,36.2,74.72,4.585600000000006,72.83000000000001,418.5740000000003,6,1,5,0,1,3,115.45480000000008,0.76,5,0.5399568034557235,0,1,15,1310,0,0,0,0,0,75,2,,60,,4.8
"Gatifloxacin",11.627906976744185,23.25581395348837,58.139534883720934,0,8.6,205,27.3,77.67,1.9803999999999997,83.8,375.40000000000015,4,2,6,2,2,2,99.62600000000006,0.47368421052631576,8,6.976744186046512,0,1,22,12600,0,0,0,0,0,80,1,1000,25,,5.5
"Gatifloxacin",28.30188679245283,18.867924528301888,47.16981132075472,0,10.6,468,47.8,61.31,1.9803999999999997,83.8,375.40000000000015,4,2,6,2,2,2,99.62600000000006,0.47368421052631576,8,5.660377358490567,0,1,22,12600,0,0,0,0,0,80,1,1000,25,,5.5
"Gatifloxacin",7.936507936507936,47.61904761904761,39.682539682539684,0,12.6,273,17.6,71.82,1.9803999999999997,83.8,375.40000000000015,4,2,6,2,2,2,99.62600000000006,0.47368421052631576,8,4.761904761904762,0,1,22,12600,0,0,0,0,0,80,1,1000,25,,5.5
"Gatifloxacin",20.54794520547945,41.0958904109589,34.24657534246575,0,14.6,572,38.1,68.51,1.9803999999999997,83.8,375.40000000000015,4,2,6,2,2,2,99.62600000000006,0.47368421052631576,8,4.10958904109589,0,1,22,12600,0,0,0,0,0,80,1,1000,25,,5.5
"Gatifloxacin",9.900990099009901,39.603960396039604,49.504950495049506,0,10.1,243,21.9,74.53,1.9803999999999997,83.8,375.40000000000015,4,2,6,2,2,2,99.62600000000006,0.47368421052631576,8,0.9900990099009901,0,1,22,12600,0,0,0,0,0,80,1,1000,25,,5.5
"Gatifloxacin",24.793388429752067,33.057851239669425,41.32231404958678,0,12.1,483,42.2,63.29,1.9803999999999997,83.8,375.40000000000015,4,2,6,2,2,2,99.62600000000006,0.47368421052631576,8,0.8264462809917356,0,1,22,12600,0,0,0,0,0,80,1,1000,25,,5.5
"Gatifloxacin",9.090909090909092,36.36363636363637,45.45454545454545,0,11,261,20.5,76.84,1.9803999999999997,83.8,375.40000000000015,4,2,6,2,2,2,99.62600000000006,0.47368421052631576,8,9.090909090909092,0,1,22,12600,0,0,0,0,0,80,1,1000,25,,5.5
"Gatifloxacin",23.076923076923077,30.76923076923077,38.46153846153847,0,13,528,42.3,67.08,1.9803999999999997,83.8,375.40000000000015,4,2,6,2,2,2,99.62600000000006,0.47368421052631576,8,7.6923076923076925,0,1,22,12600,0,0,0,0,0,80,1,1000,25,,5.5
"Gatifloxacin",21.978021978021978,21.978021978021978,54.94505494505495,0,9.1,338,39.6,62.54,1.9803999999999997,83.8,375.40000000000015,4,2,6,2,2,2,99.62600000000006,0.47368421052631576,8,1.098901098901099,0,1,22,12600,0,0,0,0,0,80,1,1000,25,,5.5
